positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1515313,上海,30830,技术,后端开发,本科,"移动互联网,文化娱乐",哔哩哔哩-90后最爱的弹幕视频网站,大数据平台研发工程师,"['平台', '大数据', '数据']",18k-36k,1-3年
1633076,上海,118981,技术,后端开发,本科,数据服务,从事APACHE开源工作；伙伴是技术大牛兼吃货,高级大数据开发工程师,"['大数据', '数据库', '数据']",20k-30k,1-3年
2498176,上海,34120,技术,数据开发,本科,"企业服务,数据服务",咨询部,主数据开发人员,"['大数据', '数据挖掘', '数据库', '数据']",6k-10k,1-3年
360679,上海,15257,技术,后端开发,本科,"移动互联网,O2O",带薪年假 五险一金 股票期权 年底多薪,大数据开发/数据挖掘/数据分析工程师,"['大数据', '数据分析', '数据挖掘', '数据库', '数据']",10k-20k,1-3年
1801692,上海,119019,市场与销售,投资,硕士,电子商务,发展前景广阔 五险一金,高级分析师,['分析师'],6k-9k,1-3年
2550835,上海,124007,技术,后端开发,本科,"移动互联网,数据服务",实战提升的平台,资深大数据工程师,"['大数据', '数据']",8k-16k,1-3年
881623,上海,51235,技术,后端开发,本科,数据服务,股票期权，带薪年假，弹性工作，扁平管理,大数据开发工程师,"['大数据', '数据库', '数据']",10k-20k,1-3年
2320778,上海,64791,技术,DBA,本科,金融,年度调薪 14~16薪 团建 福利多,大数据高级开发工程师,"['大数据', '数据']",20k-27k,1-3年
2553213,上海,104261,技术,数据开发,本科,"移动互联网,企业服务",扁平化管理，自己的平台，带薪假，奖金丰厚,数据科学家,"['数据挖掘', '数据']",5k-8k,1-3年
1021330,上海,90554,技术,DBA,本科,"移动互联网,金融",领导好、待遇高、弹性工作,数据仓库,"['数据仓库', '数据']",15k-20k,1-3年
2294926,上海,30533,产品,产品经理/产品设计师,大专,"移动互联网,O2O",年底双薪、氛围好、五险一金,需求分析师,"['分析师', '产品经理', '需求分析']",8k-15k,1-3年
2278027,上海,129673,技术,运维安全,大专,"移动互联网,电子商务",五险一金,大数据开发,"['大数据', '数据库', '数据']",10k-20k,1-3年
2323449,上海,125976,技术,运维安全,本科,"数据服务,移动互联网",优秀团队、股权期权、弹性工作、福利津贴,数据仓库工程师,"['数据仓库', '数据']",10k-20k,1-3年
275163,上海,25734,技术,前端开发,本科,金融,五险一金 带薪年假 年终奖金 餐补 交通补贴,数据分析工程师,"['数据分析', '数据']",10k-18k,1-3年
2541547,上海,14229,产品,产品经理,本科,"移动互联网,电子商务",弹性上班 10天年假 员工俱乐部 补贴奖金,产品经理（萌店数据组）,"['产品经理', '产品', '数据']",10k-20k,1-3年
975357,上海,87333,技术,后端开发,不限,"移动互联网,企业服务",弹性工作，有竞争力的薪资，健身房,大数据工程师 （初级）,"['大数据', '数据']",8k-12k,1-3年
2423584,上海,5120,技术,运维安全,本科,"移动互联网,广告营销","移动互联网,海外产品,带薪年假,弹性工作制",木马病毒分析师,"['病毒分析', '分析师', '安全']",20k-40k,1年以下
2574210,上海,98495,产品/需求/项目类,数据分析,硕士,"企业服务,数据服务",五险一金 带薪年假 弹性工作,数据分析岗,"['数据分析', '数据']",5k-7k,1年以下
2066823,上海,52553,技术,软件开发,大专,"企业服务,金融","五险一金,双休,每年体检,福利齐全",需求分析师（BA）,"['企业软件', '分析师', '需求分析']",7k-14k,1-3年
2546753,上海,130969,技术,后端开发,本科,"移动互联网,数据服务",弹性上下班;大牛分享；健身房;期权激励,大数据研发工程师,"['大数据', '数据']",12k-24k,1-3年
1465911,上海,51480,技术,后端开发,本科,移动互联网,弹性工作制度，待遇优厚，大牛团队,数据开发工程师,"['大数据', '数据库', '数据']",13k-20k,1-3年
2571792,上海,157236,金融类,天使投资/VC/PE,不限,"金融,移动互联网",五险一金，做五休二、晋升空间大、福利待遇,直播室分析师,"['投资', '分析师']",6K-8K,1年以下
2446466,上海,28095,技术,软件开发,本科,金融,互联网投行 精英团队 气氛轻松 福利丰厚,BI数据分析师,"['分析师', '数据分析', '数据', 'BI']",10k-20k,1-3年
2478371,上海,7158,技术,后端开发,本科,游戏,"优秀团队,免费班车,弹性工作制,早餐下午茶",数据平台开发工程师,"['平台', '数据']",8k-16k,1年以下
1532050,上海,35179,设计,数据分析,本科,金融,发展空间 年底双薪 五险一金等,数据分析师（天天基金）,"['分析师', '数据分析', '数据']",6k-12k,1-3年
2514041,上海,51480,设计,用户研究/需求分析,本科,移动互联网,领导授权+晋升+工作挑战,商业分析师,"['分析师', '用户研究', 'BI']",10k-20k,1-3年
2220657,上海,109625,金融,投融资,硕士,"移动互联网,金融",移动金融，未来金矿；精英团队，助力成长！,高级量化分析师,['分析师'],15k-30k,1-3年
1448490,上海,165,技术,后端开发,本科,数据服务,快速发展,数据仓库产品研发工程师,"['数据仓库', '产品', '数据']",12k-24k,1-3年
2286008,上海,21218,金融,天使投资/VC/PE,本科,金融,免费午餐 培训机会 可留用,财经数据研究员,"['行业研究', '数据', '财经']",2k-3k,1年以下
1757008,上海,100244,技术,后端开发,本科,"信息安全,数据服务",五险一金、商业医疗保险、年终奖金、期权,java/大数据研发工程师,"['大数据', 'Java', '数据']",10k-15k,1-3年
2528180,上海,47640,技术,数据开发,本科,"移动互联网,O2O",发展晋升空间巨大 大牛大咖众多,初级数据工程师,"['数据挖掘', '数据']",6k-10k,1-3年
2570122,上海,27155,产品/需求/项目类,产品设计/需求分析,本科,金融,"扁平化,工作环境佳",需求分析师,"['高级', '需求分析', '分析师']",7k-12k,1-3年
1581332,上海,6082,运营,运营,本科,"数据服务,移动互联网",千万用户 15薪 成长空间大,产品运营（数据+用户分析）,"['运营', '产品', '数据']",8k-12k,1-3年
2410397,上海,36009,金融,投融资,本科,移动互联网,"交通便利,发展空间大",分析师/投资经理,"['分析师', '投资']",10k-20k,1-3年
1845343,上海,40092,技术,后端开发,本科,"移动互联网,金融","期权,扁平化,核心部门,私厨",数据科学家,"['后端开发', '数据']",15k-25k,1-3年
1958334,上海,76995,技术,DBA,大专,"移动互联网,生活服务",牛人就是我们的英雄,数据平台开发,"['平台', '数据']",10k-15k,1-3年
